id,name
uyj8-7rv5,Sandy Inundation Zone
9i7c-xyvv,NYC Stormwater Flood Maps
ezfn-5dsb,Sea Level Rise Maps (2020s 100-year Floodplain)
ajyu-7sgg,Sea Level Rise Maps (2020s 500-year Floodplain)
hbw8-2bah,Sea Level Rise Maps (2050s 100-year Floodplain)
qwca-zqw3,Sea Level Rise Maps (2050s 500-year Floodplain)
mrjc-v9pm,New York City's Flood Vulnerability Index
4vym-qrg3,New York City's Flood Vulnerability Index Map
38ps-fnsg,New York City Climate Projections: Extreme Events and Sea Level Rise
spjh-pz7h,DEP Green Infrastructure
bsin-59hv,Building Elevation and Subgrade (BES)
nmzg-6q5g,Building Elevation and Subgrade (BES) - Map
uk9f-6y9n,Hurricane Inundation by Evacuation Zone
2234-9r2y,Hurricane Inundation by Evacuation Zone (Map)
uihr-hn7s,Hurricane Evacuation Zones
p5md-weyf,Hurricane Evacuation Centers
ayer-cga7,Hurricane Evacuation Centers (Map)
c99a-c5ux,NYC Climate Budgeting Report: Climate Alignment Assessment and Capital Climate Investments
veqt-eu3t,Hazard Mitigation Plan - Mitigation Actions Database
t7k8-wj6b,Hazard Mitigation Plan – Mitigation Actions Database (points)
hqhh-iv7p,Hazard Mitigation Plan - Mitigation Actions Database (Lines)
cj2p-e3ej,Hazard Mitigation Plan - Mitigation Actions Database (Polygons)
3vjp-ybhy,2050s Mean Sea Level
cyvg-fsk8,2080s Mean Sea Level
q7rf-ks4h,2100s Mean Sea Level
ebsy-4b6x,2020s Mean Monthly High Water
p8e8-yh4m,2050s Mean Monthly High Water
amfa-s2y8,2080s Mean Monthly High Water
mzds-2cdc,2100s Mean Monthly High Water
dpc8-z3jc,1 foot Digital Elevation Model (DEM)
he6d-2qns,Land Cover Raster Data (2017) – 6in Resolution
uex9-rfq8,DEPs Citywide Parcel-Based Impervious Area GIS Study